Neighbor_Word,Similarity,Target_Word,Period,Model_Type,Rank
considerable_length,0.43657395243644714,terrorism,1851-1900,CBOW,120
black_belt,0.4364834725856781,terrorism,1851-1900,CBOW,121
subversive,0.4363490641117096,terrorism,1851-1900,CBOW,122
distract,0.4363051652908325,terrorism,1851-1900,CBOW,123
lawless,0.43625932931900024,terrorism,1851-1900,CBOW,124
interference,0.43406808376312256,terrorism,1851-1900,CBOW,125
ivy,0.43329760432243347,terrorism,1851-1900,CBOW,126
campaigning,0.4319523274898529,terrorism,1851-1900,CBOW,127
susceptible_proof,0.43186143040657043,terrorism,1851-1900,CBOW,128
liquor_trade,0.43144357204437256,terrorism,1851-1900,CBOW,129
democrat_republican,0.43073052167892456,terrorism,1851-1900,CBOW,130
offset,0.43059587478637695,terrorism,1851-1900,CBOW,131
supposition,0.4305829405784607,terrorism,1851-1900,CBOW,132
deprive_right,0.42972418665885925,terrorism,1851-1900,CBOW,133
enactment_law,0.4292483925819397,terrorism,1851-1900,CBOW,134
impartially,0.4288676381111145,terrorism,1851-1900,CBOW,135
house_representatives,0.42819735407829285,terrorism,1851-1900,CBOW,136
impartial,0.42780548334121704,terrorism,1851-1900,CBOW,137
denote,0.4277375638484955,terrorism,1851-1900,CBOW,138
bring_attention,0.4272472560405731,terrorism,1851-1900,CBOW,139
exercise_franchise,0.42687466740608215,terrorism,1851-1900,CBOW,140
quote,0.425761342048645,terrorism,1851-1900,CBOW,141
west,0.4252636432647705,terrorism,1851-1900,CBOW,142
intended,0.4250854253768921,terrorism,1851-1900,CBOW,143
eh,0.4250648021697998,terrorism,1851-1900,CBOW,144
nullify,0.42496171593666077,terrorism,1851-1900,CBOW,145
emigrate,0.4248400926589966,terrorism,1851-1900,CBOW,146
registration,0.42468467354774475,terrorism,1851-1900,CBOW,147
disability,0.424548864364624,terrorism,1851-1900,CBOW,148
danville,0.4239955246448517,terrorism,1851-1900,CBOW,149
fairest,0.4237838387489319,terrorism,1851-1900,CBOW,150
tranquility,0.42371535301208496,terrorism,1851-1900,CBOW,151
andrew_johnson,0.4236515760421753,terrorism,1851-1900,CBOW,152
american_citizens,0.4234263300895691,terrorism,1851-1900,CBOW,153
fraudulent_voting,0.42291080951690674,terrorism,1851-1900,CBOW,154
synod,0.4226539134979248,terrorism,1851-1900,CBOW,155
regard,0.42261457443237305,terrorism,1851-1900,CBOW,156
coincide,0.4225701093673706,terrorism,1851-1900,CBOW,157
territorial,0.4221414625644684,terrorism,1851-1900,CBOW,158
differ,0.42206665873527527,terrorism,1851-1900,CBOW,159
traitorous,0.4219723045825958,terrorism,1851-1900,CBOW,160
maryland_virginia,0.4206327497959137,terrorism,1851-1900,CBOW,161
tolerate,0.4206097722053528,terrorism,1851-1900,CBOW,162
south_carolina,0.4203198552131653,terrorism,1851-1900,CBOW,163
freedmen,0.4202735126018524,terrorism,1851-1900,CBOW,164
glare,0.4200862944126129,terrorism,1851-1900,CBOW,165
registration_voter,0.41997286677360535,terrorism,1851-1900,CBOW,166
retrogression,0.4198203682899475,terrorism,1851-1900,CBOW,167
delegates,0.4198170304298401,terrorism,1851-1900,CBOW,168
intimidation_fraud,0.419297456741333,terrorism,1851-1900,CBOW,169
unconstitutional,0.4192112386226654,terrorism,1851-1900,CBOW,170
speciman,0.4188356399536133,terrorism,1851-1900,CBOW,171
act_violence,0.41854479908943176,terrorism,1851-1900,CBOW,172
sov_element,0.41843318939208984,terrorism,1851-1900,CBOW,173
ostracism,0.41781020164489746,terrorism,1851-1900,CBOW,174
qualified,0.4175872504711151,terrorism,1851-1900,CBOW,175
extract,0.4175289273262024,terrorism,1851-1900,CBOW,176
concede,0.41742804646492004,terrorism,1851-1900,CBOW,177
sov_palmer,0.41730448603630066,terrorism,1851-1900,CBOW,178
thorn,0.41723278164863586,terrorism,1851-1900,CBOW,179
directly_responsible,0.41708844900131226,terrorism,1851-1900,CBOW,180
violation_international,0.41686713695526123,terrorism,1851-1900,CBOW,181
intimidation,0.4163932800292969,terrorism,1851-1900,CBOW,182
delaware_maryland,0.41629284620285034,terrorism,1851-1900,CBOW,183
reconstruct,0.41603001952171326,terrorism,1851-1900,CBOW,184
cite_example,0.41600921750068665,terrorism,1851-1900,CBOW,185
epidemic,0.4159112274646759,terrorism,1851-1900,CBOW,186
technically,0.41580167412757874,terrorism,1851-1900,CBOW,187
george_washington,0.41569775342941284,terrorism,1851-1900,CBOW,188
peculiar_institution,0.415394127368927,terrorism,1851-1900,CBOW,189
portion,0.41538357734680176,terrorism,1851-1900,CBOW,190
federal_authority,0.4146222770214081,terrorism,1851-1900,CBOW,191
absolute_power,0.4146120846271515,terrorism,1851-1900,CBOW,192
incident,0.4143686294555664,terrorism,1851-1900,CBOW,193
ablest,0.4140632748603821,terrorism,1851-1900,CBOW,194
heroism,0.4138052463531494,terrorism,1851-1900,CBOW,195
republican_majority,0.4137069582939148,terrorism,1851-1900,CBOW,196
deference,0.413562536239624,terrorism,1851-1900,CBOW,197
optional,0.4134211540222168,terrorism,1851-1900,CBOW,198
outcry,0.413095086812973,terrorism,1851-1900,CBOW,199
nonsensical,0.4129483997821808,terrorism,1851-1900,CBOW,200
devise_statute,0.4129020571708679,terrorism,1851-1900,CBOW,201
bloodless,0.4125765562057495,terrorism,1851-1900,CBOW,202
senator_missouri,0.4124636948108673,terrorism,1851-1900,CBOW,203
dickinson,0.4121234714984894,terrorism,1851-1900,CBOW,204
ascertain_exact,0.4121209681034088,terrorism,1851-1900,CBOW,205
insight,0.41174235939979553,terrorism,1851-1900,CBOW,206
destruction_property,0.41162267327308655,terrorism,1851-1900,CBOW,207
exultation,0.41151344776153564,terrorism,1851-1900,CBOW,208
severance,0.41143369674682617,terrorism,1851-1900,CBOW,209
repulsion,0.41135820746421814,terrorism,1851-1900,CBOW,210
prolong_applause,0.4111246168613434,terrorism,1851-1900,CBOW,211
groundless,0.4111224114894867,terrorism,1851-1900,CBOW,212
disclose,0.4104355573654175,terrorism,1851-1900,CBOW,213
registry_list,0.41027748584747314,terrorism,1851-1900,CBOW,214
louisiana,0.40982815623283386,terrorism,1851-1900,CBOW,215
disown,0.4097346067428589,terrorism,1851-1900,CBOW,216
organized,0.4096558690071106,terrorism,1851-1900,CBOW,217
authenticate,0.4095066785812378,terrorism,1851-1900,CBOW,218
preparatory,0.40921294689178467,terrorism,1851-1900,CBOW,219
foregoing,0.4090648293495178,terrorism,1851-1900,CBOW,220
denial,0.40905874967575073,terrorism,1851-1900,CBOW,221
law_enact,0.40889811515808105,terrorism,1851-1900,CBOW,222
blackwell_island,0.40871909260749817,terrorism,1851-1900,CBOW,223
defence_protection,0.40870705246925354,terrorism,1851-1900,CBOW,224
obey_law,0.4086703956127167,terrorism,1851-1900,CBOW,225
article,0.40851980447769165,terrorism,1851-1900,CBOW,226
insert,0.4082867205142975,terrorism,1851-1900,CBOW,227
secede,0.4080469310283661,terrorism,1851-1900,CBOW,228
border_ruffian,0.407855361700058,terrorism,1851-1900,CBOW,229
kidnap,0.40773966908454895,terrorism,1851-1900,CBOW,230
chalmer,0.4074847400188446,terrorism,1851-1900,CBOW,231
arkansa,0.4069376587867737,terrorism,1851-1900,CBOW,232
shallowness,0.4064697027206421,terrorism,1851-1900,CBOW,233
room_mend,0.4063829481601715,terrorism,1851-1900,CBOW,234
mouthpiece,0.4056508243083954,terrorism,1851-1900,CBOW,235
deny,0.4054538607597351,terrorism,1851-1900,CBOW,236
phantom,0.40529903769493103,terrorism,1851-1900,CBOW,237
sequence,0.40498754382133484,terrorism,1851-1900,CBOW,238
concurrence,0.40486302971839905,terrorism,1851-1900,CBOW,239
secession_movement,0.4046820402145386,terrorism,1851-1900,CBOW,240
civil_right_bill,0.40401923656463623,terrorism,1851-1900,CBOW,241
twothird,0.4039250314235687,terrorism,1851-1900,CBOW,242
expressive,0.40328776836395264,terrorism,1851-1900,CBOW,243
abolition_slavery,0.40318673849105835,terrorism,1851-1900,CBOW,244
audit,0.4030804932117462,terrorism,1851-1900,CBOW,245
brazil,0.40236589312553406,terrorism,1851-1900,CBOW,246
criminal_prosecution,0.40197205543518066,terrorism,1851-1900,CBOW,247
date,0.4017484188079834,terrorism,1851-1900,CBOW,248
anticipate,0.4017215371131897,terrorism,1851-1900,CBOW,249
outrage,0.40119779109954834,terrorism,1851-1900,CBOW,250
supplemented,0.40054887533187866,terrorism,1851-1900,CBOW,251
innuendo,0.4003763794898987,terrorism,1851-1900,CBOW,252
enfranchise,0.4002612233161926,terrorism,1851-1900,CBOW,253
crusade,0.3999820947647095,terrorism,1851-1900,CBOW,254
indisputable,0.39969199895858765,terrorism,1851-1900,CBOW,255
kelley,0.39962148666381836,terrorism,1851-1900,CBOW,256
eleventh,0.39956143498420715,terrorism,1851-1900,CBOW,257
pretense,0.39873582124710083,terrorism,1851-1900,CBOW,258
ardor,0.39849966764450073,terrorism,1851-1900,CBOW,259
base,0.3984450399875641,terrorism,1851-1900,CBOW,260
mile_north,0.39843326807022095,terrorism,1851-1900,CBOW,261
worthy_attention,0.3978460729122162,terrorism,1851-1900,CBOW,262
radicalism,0.3977380096912384,terrorism,1851-1900,CBOW,263
within_jurisdiction,0.39750537276268005,terrorism,1851-1900,CBOW,264
houses,0.3973599970340729,terrorism,1851-1900,CBOW,265
presbyterians_church,0.3972617983818054,terrorism,1851-1900,CBOW,266
shoulder_shoulder,0.3969079554080963,terrorism,1851-1900,CBOW,267
dixon,0.39674970507621765,terrorism,1851-1900,CBOW,268
motor,0.396610826253891,terrorism,1851-1900,CBOW,269
customary,0.39643728733062744,terrorism,1851-1900,CBOW,270
warp,0.3964313864707947,terrorism,1851-1900,CBOW,271
shreveport,0.39626502990722656,terrorism,1851-1900,CBOW,272
hamburg_massacre,0.39596423506736755,terrorism,1851-1900,CBOW,273
goal,0.39557766914367676,terrorism,1851-1900,CBOW,274
telegram_send,0.39527955651283264,terrorism,1851-1900,CBOW,275
tennessee_virginia,0.3951885402202606,terrorism,1851-1900,CBOW,276
amnesty,0.3951166570186615,terrorism,1851-1900,CBOW,277
deny_existence,0.39490556716918945,terrorism,1851-1900,CBOW,278
complete_independence,0.3947403132915497,terrorism,1851-1900,CBOW,279
duct,0.3946089744567871,terrorism,1851-1900,CBOW,280
ann,0.394108384847641,terrorism,1851-1900,CBOW,281
bulldoze,0.3941003978252411,terrorism,1851-1900,CBOW,282
crosse,0.3940364420413971,terrorism,1851-1900,CBOW,283
oxford_miss,0.39362621307373047,terrorism,1851-1900,CBOW,284
unionism,0.39359259605407715,terrorism,1851-1900,CBOW,285
thirteenth,0.39345890283584595,terrorism,1851-1900,CBOW,286
taft,0.39326196908950806,terrorism,1851-1900,CBOW,287
thirteenth_fourteenth_fifteenth_amendment,0.3931873142719269,terrorism,1851-1900,CBOW,288
syracuse,0.392625629901886,terrorism,1851-1900,CBOW,289
judicial,0.3926113545894623,terrorism,1851-1900,CBOW,290
proverbial,0.39242106676101685,terrorism,1851-1900,CBOW,291
tee,0.3923436403274536,terrorism,1851-1900,CBOW,292
incorrect,0.39233240485191345,terrorism,1851-1900,CBOW,293
airy,0.3922322690486908,terrorism,1851-1900,CBOW,294
relic,0.3916187584400177,terrorism,1851-1900,CBOW,295
intrude,0.39141765236854553,terrorism,1851-1900,CBOW,296
unnecessary,0.391409695148468,terrorism,1851-1900,CBOW,297
vue,0.39136943221092224,terrorism,1851-1900,CBOW,298
shoot_death,0.3911901116371155,terrorism,1851-1900,CBOW,299
presidential_election,0.39118465781211853,terrorism,1851-1900,CBOW,300
henceforth,0.39046844840049744,terrorism,1851-1900,CBOW,301
beneficial,0.39005202054977417,terrorism,1851-1900,CBOW,302
majority_rule,0.39004987478256226,terrorism,1851-1900,CBOW,303
east,0.39002230763435364,terrorism,1851-1900,CBOW,304
extremely_difficult,0.3897418975830078,terrorism,1851-1900,CBOW,305
extra_session,0.3894822299480438,terrorism,1851-1900,CBOW,306
cuba,0.38944578170776367,terrorism,1851-1900,CBOW,307
black_white,0.3891480267047882,terrorism,1851-1900,CBOW,308
shotgun,0.3891165256500244,terrorism,1851-1900,CBOW,309
boundary,0.38882315158843994,terrorism,1851-1900,CBOW,310
heretofore,0.3888031840324402,terrorism,1851-1900,CBOW,311
expound,0.3883896470069885,terrorism,1851-1900,CBOW,312
paul_inn,0.38809144496917725,terrorism,1851-1900,CBOW,313
enforce_provision,0.3873996436595917,terrorism,1851-1900,CBOW,314
copperhead,0.3870944082736969,terrorism,1851-1900,CBOW,315
constitutional_convention,0.3870573043823242,terrorism,1851-1900,CBOW,316
political_opponent,0.38699910044670105,terrorism,1851-1900,CBOW,317
ascertain,0.386976957321167,terrorism,1851-1900,CBOW,318
reinstate,0.38693803548812866,terrorism,1851-1900,CBOW,319
particular,0.386929452419281,terrorism,1851-1900,CBOW,320
unheard,0.3867928385734558,terrorism,1851-1900,CBOW,321
fraud_corruption,0.38678979873657227,terrorism,1851-1900,CBOW,322
counties,0.3862665891647339,terrorism,1851-1900,CBOW,323
imperfectly,0.38597896695137024,terrorism,1851-1900,CBOW,324
ratio,0.38594940304756165,terrorism,1851-1900,CBOW,325
journal,0.38582098484039307,terrorism,1851-1900,CBOW,326
duplicate,0.3855319619178772,terrorism,1851-1900,CBOW,327
unauthorized,0.3851316571235657,terrorism,1851-1900,CBOW,328
hayes,0.3850614130496979,terrorism,1851-1900,CBOW,329
rely,0.38456296920776367,terrorism,1851-1900,CBOW,330
missouri_kentucky,0.38418012857437134,terrorism,1851-1900,CBOW,331
budget,0.38411813974380493,terrorism,1851-1900,CBOW,332
advent,0.3838562071323395,terrorism,1851-1900,CBOW,333
congress_adjourn,0.3837379217147827,terrorism,1851-1900,CBOW,334
sustain,0.38350993394851685,terrorism,1851-1900,CBOW,335
east_tennessee,0.38341057300567627,terrorism,1851-1900,CBOW,336
nun,0.38337308168411255,terrorism,1851-1900,CBOW,337
overturn,0.38331276178359985,terrorism,1851-1900,CBOW,338
pere,0.38295862078666687,terrorism,1851-1900,CBOW,339
luke,0.3829183578491211,terrorism,1851-1900,CBOW,340
pitiable,0.38260945677757263,terrorism,1851-1900,CBOW,341
educational,0.3824913799762726,terrorism,1851-1900,CBOW,342
parish_parish,0.38246411085128784,terrorism,1851-1900,CBOW,343
hayes_elect,0.3824343681335449,terrorism,1851-1900,CBOW,344
reprint,0.38241082429885864,terrorism,1851-1900,CBOW,345
effect,0.382382869720459,terrorism,1851-1900,CBOW,346
axilla,0.3822724223136902,terrorism,1851-1900,CBOW,347
ferment,0.38225388526916504,terrorism,1851-1900,CBOW,348
attempt_conceal,0.3820316195487976,terrorism,1851-1900,CBOW,349
infringe,0.38165929913520813,terrorism,1851-1900,CBOW,350
assume_command,0.381303608417511,terrorism,1851-1900,CBOW,351
nerves,0.38123661279678345,terrorism,1851-1900,CBOW,352
frenzy,0.3811684548854828,terrorism,1851-1900,CBOW,353
repulsive,0.38085806369781494,terrorism,1851-1900,CBOW,354
reach_climax,0.3806823194026947,terrorism,1851-1900,CBOW,355
free_trade,0.3805532157421112,terrorism,1851-1900,CBOW,356
fair_trial,0.37944111227989197,terrorism,1851-1900,CBOW,357
jackson,0.3793516755104065,terrorism,1851-1900,CBOW,358
recourse,0.37877681851387024,terrorism,1851-1900,CBOW,359
programme,0.3787170350551605,terrorism,1851-1900,CBOW,360
municipal_election,0.3786245584487915,terrorism,1851-1900,CBOW,361
republican_convention,0.37848955392837524,terrorism,1851-1900,CBOW,362
popular_sentiment,0.37837445735931396,terrorism,1851-1900,CBOW,363
conway,0.3782218396663666,terrorism,1851-1900,CBOW,364
corrupt_influence,0.37753671407699585,terrorism,1851-1900,CBOW,365
attain_object,0.3772992491722107,terrorism,1851-1900,CBOW,366
nineteen,0.3770618438720703,terrorism,1851-1900,CBOW,367
section,0.3763909339904785,terrorism,1851-1900,CBOW,368
clement,0.3762601315975189,terrorism,1851-1900,CBOW,369
tennessee,0.37612682580947876,terrorism,1851-1900,CBOW,370
refuse_recognize,0.37594500184059143,terrorism,1851-1900,CBOW,371
england_scotland,0.3757988512516022,terrorism,1851-1900,CBOW,372
respecting,0.3756091594696045,terrorism,1851-1900,CBOW,373
american_citizenship,0.37520524859428406,terrorism,1851-1900,CBOW,374
preserving,0.3751928210258484,terrorism,1851-1900,CBOW,375
tack,0.37477415800094604,terrorism,1851-1900,CBOW,376
federal_judge,0.37474536895751953,terrorism,1851-1900,CBOW,377
grand_jury_oxford,0.37473264336586,terrorism,1851-1900,CBOW,378
lawyers,0.3744661808013916,terrorism,1851-1900,CBOW,379
disastrous,0.3743639588356018,terrorism,1851-1900,CBOW,380
atlantic,0.3741735517978668,terrorism,1851-1900,CBOW,381
cornerstone,0.37409383058547974,terrorism,1851-1900,CBOW,382
protest,0.37409332394599915,terrorism,1851-1900,CBOW,383
god_bless,0.3740366995334625,terrorism,1851-1900,CBOW,384
vitiate,0.37399598956108093,terrorism,1851-1900,CBOW,385
felony,0.373739629983902,terrorism,1851-1900,CBOW,386
cession,0.37371692061424255,terrorism,1851-1900,CBOW,387
ashame,0.3736613094806671,terrorism,1851-1900,CBOW,388
northwestern,0.37335705757141113,terrorism,1851-1900,CBOW,389
cast,0.37314558029174805,terrorism,1851-1900,CBOW,390
carefully_avoid,0.37313538789749146,terrorism,1851-1900,CBOW,391
elections,0.37312161922454834,terrorism,1851-1900,CBOW,392
auto,0.3727749288082123,terrorism,1851-1900,CBOW,393
compatible,0.37248700857162476,terrorism,1851-1900,CBOW,394
congressional_district,0.3724033236503601,terrorism,1851-1900,CBOW,395
term_expire,0.3720782399177551,terrorism,1851-1900,CBOW,396
suppression,0.3715648651123047,terrorism,1851-1900,CBOW,397
test_oath,0.37137097120285034,terrorism,1851-1900,CBOW,398
brutality,0.37135037779808044,terrorism,1851-1900,CBOW,399
businesslike,0.37132352590560913,terrorism,1851-1900,CBOW,400
disturbance_occur,0.37095120549201965,terrorism,1851-1900,CBOW,401
wide_range,0.37088438868522644,terrorism,1851-1900,CBOW,402
denounce,0.37081247568130493,terrorism,1851-1900,CBOW,403
contested,0.37077420949935913,terrorism,1851-1900,CBOW,404
anywhere_else,0.37045997381210327,terrorism,1851-1900,CBOW,405
particle,0.3704448342323303,terrorism,1851-1900,CBOW,406
sentence_death,0.37034371495246887,terrorism,1851-1900,CBOW,407
spence,0.37031543254852295,terrorism,1851-1900,CBOW,408
additional_expense,0.37008917331695557,terrorism,1851-1900,CBOW,409
passage_bill,0.36985349655151367,terrorism,1851-1900,CBOW,410
violate_constitution,0.36985254287719727,terrorism,1851-1900,CBOW,411
free_coinage,0.36952561140060425,terrorism,1851-1900,CBOW,412
catholicism,0.36895009875297546,terrorism,1851-1900,CBOW,413
stubborn,0.368701696395874,terrorism,1851-1900,CBOW,414
board_supervisor,0.3685481548309326,terrorism,1851-1900,CBOW,415
ely,0.3681786358356476,terrorism,1851-1900,CBOW,416
petition,0.36757081747055054,terrorism,1851-1900,CBOW,417
forcible,0.36750975251197815,terrorism,1851-1900,CBOW,418
massacre,0.3674454689025879,terrorism,1851-1900,CBOW,419
privilege_immunity,0.36722683906555176,terrorism,1851-1900,CBOW,420
remain_unchanged,0.3672206699848175,terrorism,1851-1900,CBOW,421
election_campaign,0.3669801950454712,terrorism,1851-1900,CBOW,422
holmes,0.3662956655025482,terrorism,1851-1900,CBOW,423
circuit_court,0.36617642641067505,terrorism,1851-1900,CBOW,424
ember,0.366108238697052,terrorism,1851-1900,CBOW,425
variance,0.3659723699092865,terrorism,1851-1900,CBOW,426
oligarchy,0.36591458320617676,terrorism,1851-1900,CBOW,427
telegram,0.36561211943626404,terrorism,1851-1900,CBOW,428
william_rien,0.36547788977622986,terrorism,1851-1900,CBOW,429
senatorial_district,0.3654720187187195,terrorism,1851-1900,CBOW,430
dissent_voice,0.3653998374938965,terrorism,1851-1900,CBOW,431
linger,0.3651827573776245,terrorism,1851-1900,CBOW,432
solemn_oath,0.3649011552333832,terrorism,1851-1900,CBOW,433
